llm,subcategory,metric,mean,std,median,min,max,valid_entries,accuracy,precision,recall,f1_score,mismatch_percentage
grok,absurdist_dread,funniness,1.9823434991974318,1.412396755747113,1.0,1.0,7.0,623,,,,,
grok,absurdist_dread,offensiveness,1.2696629213483146,0.9712065532900352,1.0,1.0,10.0,623,,,,,
grok,absurdist_dread,originality,2.826645264847512,2.1462888364474746,2.0,1.0,9.0,623,,,,,
grok,absurdist_dread,appropriateness,4.491974317817014,0.7155371148189426,4.5,0.5,5.0,623,,,,,
grok,absurdist_dread,clarity,6.401929260450161,3.2727631381746747,7.0,1.0,10.0,622,,,,,
grok,absurdist_dread,confidence,8.389423076923077,0.8426532585456178,8.0,3.0,10.0,624,,,,,
grok,absurdist_dread,performance,,,,,,624,0.11057692307692307,1.0,0.11057692307692307,0.19913419913419914,88.9423076923077
grok,anachronism,funniness,2.5833333333333335,2.0207259421636903,2.0,1.0,7.0,12,,,,,
grok,anachronism,offensiveness,1.25,0.8660254037844386,1.0,1.0,4.0,12,,,,,
grok,anachronism,originality,3.3333333333333335,2.348435972120917,3.0,1.0,7.0,12,,,,,
grok,anachronism,appropriateness,4.625,0.5690901829794961,4.75,3.0,5.0,12,,,,,
grok,anachronism,clarity,7.833333333333333,2.4802248187442912,8.0,1.0,10.0,12,,,,,
grok,anachronism,confidence,8.5,0.5222329678670935,8.5,8.0,9.0,12,,,,,
grok,anachronism,performance,,,,,,12,0.0,0.0,0.0,0.0,100.0
grok,anti-jokes,funniness,2.733491969066032,2.016391815509998,2.0,1.0,7.0,1681,,,,,
grok,anti-jokes,offensiveness,1.7312722948870392,1.7595722868167638,1.0,1.0,9.0,1682,,,,,
grok,anti-jokes,originality,2.9447086801426874,2.238840779342922,2.0,1.0,8.0,1682,,,,,
grok,anti-jokes,appropriateness,4.349583828775268,1.047913626061798,4.5,0.5,5.0,1682,,,,,
grok,anti-jokes,clarity,7.097560975609756,3.0581662728473336,8.0,1.0,10.0,1681,,,,,
grok,anti-jokes,confidence,8.395017793594306,0.8894095495688187,8.0,3.0,10.0,1686,,,,,
grok,anti-jokes,performance,,,,,,1683,0.44385026737967914,1.0,0.44385026737967914,0.6148148148148148,55.61497326203209
grok,authority_mockery,funniness,2.8223684210526314,2.1036139627856225,2.0,1.0,7.0,152,,,,,
grok,authority_mockery,offensiveness,2.6710526315789473,2.2575152366194984,1.0,1.0,9.0,152,,,,,
grok,authority_mockery,originality,3.0723684210526314,2.199042457733978,3.0,1.0,8.0,152,,,,,
grok,authority_mockery,appropriateness,3.924342105263158,1.2851158481304588,4.5,0.5,5.0,152,,,,,
grok,authority_mockery,clarity,7.223684210526316,2.9525998610295456,8.0,1.0,10.0,152,,,,,
grok,authority_mockery,confidence,8.411764705882353,0.6642111641550715,8.0,7.0,10.0,153,,,,,
grok,authority_mockery,performance,,,,,,153,0.3137254901960784,1.0,0.3137254901960784,0.47761194029850745,68.62745098039215
grok,british_class_humor,funniness,2.911808669656203,2.107797297741848,2.0,1.0,7.0,669,,,,,
grok,british_class_humor,offensiveness,1.482089552238806,1.2795301563335324,1.0,1.0,10.0,670,,,,,
grok,british_class_humor,originality,3.064179104477612,2.112048254741106,3.0,1.0,8.0,670,,,,,
grok,british_class_humor,appropriateness,4.455223880597015,0.7976579285810848,4.5,0.5,5.0,670,,,,,
grok,british_class_humor,clarity,7.259370314842578,2.91215969297285,8.0,1.0,10.0,667,,,,,
grok,british_class_humor,confidence,8.293413173652695,0.75298111057025,8.0,1.0,10.0,1503,,,,,
grok,british_class_humor,performance,,,,,,1509,0.2982107355864811,1.0,0.2982107355864811,0.45941807044410415,70.17892644135189
grok,contextual_sarcasm,funniness,3.0342205323193916,2.2654827900009646,2.0,1.0,7.0,263,,,,,
grok,contextual_sarcasm,offensiveness,1.9695817490494296,1.7881679118267966,1.0,1.0,9.0,263,,,,,
grok,contextual_sarcasm,originality,3.2395437262357416,2.4212077811009785,2.0,1.0,8.0,263,,,,,
grok,contextual_sarcasm,appropriateness,4.192015209125476,1.1061128414806558,4.5,0.5,5.0,263,,,,,
grok,contextual_sarcasm,clarity,6.893536121673004,3.148378360851751,8.0,1.0,10.0,263,,,,,
grok,contextual_sarcasm,confidence,8.402298850574713,0.634758041999697,8.0,7.0,10.0,261,,,,,
grok,contextual_sarcasm,performance,,,,,,261,0.4827586206896552,1.0,0.4827586206896552,0.6511627906976745,51.72413793103448
grok,cringe_comedy,funniness,2.2142857142857144,1.7604837789336492,1.0,1.0,7.0,42,,,,,
grok,cringe_comedy,offensiveness,2.5238095238095237,2.5967906575100494,1.0,1.0,10.0,42,,,,,
grok,cringe_comedy,originality,2.3333333333333335,1.677202471403289,1.5,1.0,7.0,42,,,,,
grok,cringe_comedy,appropriateness,3.9404761904761907,1.5309903575885238,4.75,0.5,5.0,42,,,,,
grok,cringe_comedy,clarity,5.619047619047619,3.554127665277621,6.0,1.0,10.0,42,,,,,
grok,cringe_comedy,confidence,7.785714285714286,1.760483778933649,8.0,3.0,10.0,42,,,,,
grok,cringe_comedy,performance,,,,,,42,0.2857142857142857,1.0,0.2857142857142857,0.4444444444444444,71.42857142857143
grok,double_entendres,funniness,3.333835341365462,2.4452826177887603,2.0,1.0,8.0,1992,,,,,
grok,double_entendres,offensiveness,2.9493480441323974,2.696551862665884,1.0,1.0,10.0,1994,,,,,
grok,double_entendres,originality,3.5581745235707123,2.594887844952163,3.0,1.0,9.0,1994,,,,,
grok,double_entendres,appropriateness,3.705616850551655,1.54619405373914,4.5,0.5,5.0,1994,,,,,
grok,double_entendres,clarity,7.280481685900653,3.040903442032619,8.0,1.0,10.0,1993,,,,,
grok,double_entendres,confidence,8.714501510574019,0.6400261158460422,9.0,2.0,10.0,1986,,,,,
grok,double_entendres,performance,,,,,,1995,0.49473684210526314,1.0,0.49473684210526314,0.6619718309859155,50.526315789473685
grok,emoji_absurdism,funniness,2.1925,1.5679658466051325,1.0,1.0,7.0,800,,,,,
grok,emoji_absurdism,offensiveness,2.1325,2.341323556237741,1.0,1.0,10.0,800,,,,,
grok,emoji_absurdism,originality,2.76625,2.1435611737554963,1.0,1.0,9.0,800,,,,,
grok,emoji_absurdism,appropriateness,4.09375,1.3494395768111778,4.5,0.5,5.0,800,,,,,
grok,emoji_absurdism,clarity,6.10625,3.3565673116514523,6.0,1.0,10.0,800,,,,,
grok,emoji_absurdism,confidence,8.293233082706767,1.0646501175651033,8.0,3.0,10.0,798,,,,,
grok,emoji_absurdism,performance,,,,,,804,0.2537313432835821,1.0,0.2537313432835821,0.40476190476190477,74.62686567164178
grok,ethical_edge_cases,funniness,2.580722891566265,1.9542695723048296,2.0,1.0,8.0,830,,,,,
grok,ethical_edge_cases,offensiveness,1.9879518072289157,1.7681949244353412,1.0,1.0,9.0,830,,,,,
grok,ethical_edge_cases,originality,3.378313253012048,2.52829813945494,3.0,1.0,9.0,830,,,,,
grok,ethical_edge_cases,appropriateness,4.021686746987951,1.2341196999158577,4.5,0.5,5.0,830,,,,,
grok,ethical_edge_cases,clarity,6.46144578313253,3.2171633852446093,7.0,1.0,10.0,830,,,,,
grok,ethical_edge_cases,confidence,8.321299638989169,0.9738836651473489,8.0,3.0,10.0,831,,,,,
grok,ethical_edge_cases,performance,,,,,,834,0.25539568345323743,1.0,0.25539568345323743,0.4068767908309456,74.46043165467626
grok,future_shock,funniness,3.0,1.8973665961010275,3.0,1.0,5.0,6,,,,,
grok,future_shock,offensiveness,2.0,1.0954451150103321,2.0,1.0,3.0,6,,,,,
grok,future_shock,originality,3.1666666666666665,1.7224014243685084,4.0,1.0,5.0,6,,,,,
grok,future_shock,appropriateness,4.0,1.0,4.0,2.5,5.0,6,,,,,
grok,future_shock,clarity,6.666666666666667,3.011090610836324,6.0,2.0,10.0,6,,,,,
grok,future_shock,confidence,6.5,1.6431676725154984,6.5,5.0,8.0,6,,,,,
grok,future_shock,performance,,,,,,6,0.5,1.0,0.5,0.6666666666666666,50.0
grok,gallows_humor,funniness,2.7929125138427464,2.1379760123680165,2.0,1.0,8.0,1806,,,,,
grok,gallows_humor,offensiveness,3.7679955703211516,3.2219632479548093,1.0,1.0,10.0,1806,,,,,
grok,gallows_humor,originality,3.238095238095238,2.414822538700878,3.0,1.0,9.0,1806,,,,,
grok,gallows_humor,appropriateness,3.354651162790698,1.7831305426089243,4.5,0.5,5.0,1806,,,,,
grok,gallows_humor,clarity,7.161772853185596,3.038442017373929,8.0,1.0,10.0,1805,,,,,
grok,gallows_humor,confidence,8.641541038525963,0.635921601371926,9.0,5.0,10.0,1791,,,,,
grok,gallows_humor,performance,,,,,,1800,0.495,1.0,0.495,0.6622073578595318,50.5
grok,historical_satire,funniness,4.166666666666667,2.5625508125043424,5.0,1.0,7.0,6,,,,,
grok,historical_satire,offensiveness,2.1666666666666665,0.983192080250175,2.5,1.0,3.0,6,,,,,
grok,historical_satire,originality,4.333333333333333,2.732520204255893,4.0,1.0,8.0,6,,,,,
grok,historical_satire,appropriateness,3.9166666666666665,0.7359800721939873,3.75,3.0,5.0,6,,,,,
grok,historical_satire,clarity,8.0,1.6733200530681511,8.5,6.0,10.0,6,,,,,
grok,historical_satire,confidence,8.5,0.5477225575051661,8.5,8.0,9.0,6,,,,,
grok,historical_satire,performance,,,,,,6,0.5,1.0,0.5,0.6666666666666666,50.0
grok,homophonic,funniness,3.14206268958544,2.2529787379916466,3.0,1.0,8.0,1978,,,,,
grok,homophonic,offensiveness,1.6627906976744187,1.579791672196414,1.0,1.0,10.0,1978,,,,,
grok,homophonic,originality,3.98685540950455,2.9096718558757844,4.0,1.0,9.0,1978,,,,,
grok,homophonic,appropriateness,4.317997977755309,0.9785197475286052,4.5,0.5,5.0,1978,,,,,
grok,homophonic,clarity,6.0813953488372094,3.243287714528194,5.0,1.0,10.0,1978,,,,,
grok,homophonic,confidence,8.385432473444613,0.8765675534300356,8.0,3.0,10.0,1977,,,,,
grok,homophonic,performance,,,,,,1977,0.5098634294385432,1.0,0.5098634294385432,0.6753768844221105,49.013657056145675
grok,malapropisms,funniness,3.323906083244397,2.3834709564074243,3.0,1.0,9.0,1874,,,,,
grok,malapropisms,offensiveness,1.5538954108858059,1.408739513661815,1.0,1.0,10.0,1874,,,,,
grok,malapropisms,originality,3.728922091782284,2.7973265803496172,3.0,1.0,9.0,1874,,,,,
grok,malapropisms,appropriateness,4.436232657417289,0.8568463647420611,4.5,0.5,5.0,1874,,,,,
grok,malapropisms,clarity,7.0144076840981855,3.054987344251051,8.0,1.0,10.0,1874,,,,,
grok,malapropisms,confidence,8.375201288244767,0.7861360110580963,8.0,3.0,10.0,1863,,,,,
grok,malapropisms,performance,,,,,,1869,0.492776886035313,1.0,0.492776886035313,0.6602150537634408,50.7223113964687
grok,misdirection,funniness,3.6666666666666665,2.160246899469287,4.5,1.0,6.0,6,,,,,
grok,misdirection,offensiveness,2.6666666666666665,2.3380903889000244,2.0,1.0,7.0,6,,,,,
grok,misdirection,originality,3.3333333333333335,2.250925735484551,3.5,1.0,7.0,6,,,,,
grok,misdirection,appropriateness,3.8333333333333335,1.3291601358251257,4.0,1.5,5.0,6,,,,,
grok,misdirection,clarity,7.666666666666667,1.96638416050035,7.0,6.0,10.0,6,,,,,
grok,misdirection,confidence,8.0,0.0,8.0,8.0,8.0,6,,,,,
grok,misdirection,performance,,,,,,6,0.5,1.0,0.5,0.6666666666666666,50.0
grok,misfortune,funniness,2.6666666666666665,2.081665999466133,2.0,1.0,5.0,3,,,,,
grok,misfortune,offensiveness,1.6666666666666667,1.1547005383792517,1.0,1.0,3.0,3,,,,,
grok,misfortune,originality,2.6666666666666665,1.5275252316519465,3.0,1.0,4.0,3,,,,,
grok,misfortune,appropriateness,4.333333333333333,0.7637626158259734,4.5,3.5,5.0,3,,,,,
grok,misfortune,clarity,8.0,2.0,8.0,6.0,10.0,3,,,,,
grok,misfortune,confidence,9.0,0.0,9.0,9.0,9.0,3,,,,,
grok,misfortune,performance,,,,,,3,0.0,0.0,0.0,0.0,100.0
grok,paraprosdokians,funniness,3.476761619190405,2.5759628700053456,2.0,1.0,9.0,2001,,,,,
grok,paraprosdokians,offensiveness,1.5072463768115942,1.373707561225502,1.0,1.0,10.0,2001,,,,,
grok,paraprosdokians,originality,3.8010994502748625,2.801859880615856,3.0,1.0,9.0,2001,,,,,
grok,paraprosdokians,appropriateness,4.466016991504248,0.848878423398277,4.5,0.5,5.0,2001,,,,,
grok,paraprosdokians,clarity,7.379310344827586,2.999258529059796,8.0,1.0,10.0,2001,,,,,
grok,paraprosdokians,confidence,8.723981900452488,0.6197073948287537,9.0,1.0,10.0,1989,,,,,
grok,paraprosdokians,performance,,,,,,2001,0.5007496251874063,1.0,0.5007496251874063,0.6673326673326674,49.92503748125937
grok,pop_culture_parody,funniness,2.0,2.0,1.0,1.0,6.0,6,,,,,
grok,pop_culture_parody,offensiveness,1.1666666666666667,0.408248290463863,1.0,1.0,2.0,6,,,,,
grok,pop_culture_parody,originality,2.5,2.345207879911715,1.5,1.0,7.0,6,,,,,
grok,pop_culture_parody,appropriateness,4.583333333333333,0.49159604012508756,4.75,4.0,5.0,6,,,,,
grok,pop_culture_parody,clarity,8.5,1.760681686165901,9.0,6.0,10.0,6,,,,,
grok,pop_culture_parody,confidence,8.5,0.5477225575051661,8.5,8.0,9.0,6,,,,,
grok,pop_culture_parody,performance,,,,,,6,0.0,0.0,0.0,0.0,100.0
grok,programming,funniness,3.32183908045977,2.470732180688048,3.0,1.0,7.0,87,,,,,
grok,programming,offensiveness,1.1954022988505748,0.5874477801585928,1.0,1.0,5.0,87,,,,,
grok,programming,originality,3.8735632183908044,2.884620799314996,3.0,1.0,8.0,87,,,,,
grok,programming,appropriateness,4.586206896551724,0.5613879009212094,4.5,2.5,5.0,87,,,,,
grok,programming,clarity,6.758620689655173,3.2527824126765883,8.0,1.0,10.0,87,,,,,
grok,programming,confidence,8.689655172413794,0.703981118067117,9.0,8.0,10.0,87,,,,,
grok,programming,performance,,,,,,87,0.3793103448275862,1.0,0.3793103448275862,0.55,62.06896551724138
grok,puns,funniness,3.6138069034517257,2.58565563828832,3.0,1.0,7.0,1999,,,,,
grok,puns,offensiveness,1.3305,1.032861632347619,1.0,1.0,10.0,2000,,,,,
grok,puns,originality,3.859,2.805004995808966,4.0,1.0,8.0,2000,,,,,
grok,puns,appropriateness,4.56225,0.6774802042964848,4.5,0.5,5.0,2000,,,,,
grok,puns,clarity,7.3755,3.0346506062726686,8.0,1.0,10.0,2000,,,,,
grok,puns,confidence,8.729323308270677,0.6843407484675467,9.0,1.0,10.0,1995,,,,,
grok,puns,performance,,,,,,2001,0.512743628185907,1.0,0.512743628185907,0.6778989098116948,48.7256371814093
grok,recursive_meta-humor,funniness,2.888888888888889,2.204792759220492,2.0,1.0,6.0,9,,,,,
grok,recursive_meta-humor,offensiveness,2.0,2.345207879911715,1.0,1.0,8.0,9,,,,,
grok,recursive_meta-humor,originality,2.5555555555555554,2.242270674512285,1.0,1.0,7.0,9,,,,,
grok,recursive_meta-humor,appropriateness,4.166666666666667,1.299038105676658,4.5,1.0,5.0,9,,,,,
grok,recursive_meta-humor,clarity,6.444444444444445,3.5039660069381067,8.0,1.0,10.0,9,,,,,
grok,recursive_meta-humor,confidence,8.0,0.0,8.0,8.0,8.0,9,,,,,
grok,recursive_meta-humor,performance,,,,,,9,0.6666666666666666,1.0,0.6666666666666666,0.8,33.333333333333336
grok,religious,funniness,2.185185185185185,1.9432910625376334,1.0,1.0,8.0,54,,,,,
grok,religious,offensiveness,2.425925925925926,2.4386963100235977,1.0,1.0,9.0,54,,,,,
grok,religious,originality,2.5925925925925926,2.2022160238707627,1.0,1.0,9.0,54,,,,,
grok,religious,appropriateness,3.9166666666666665,1.4913271283570162,4.5,0.5,5.0,54,,,,,
grok,religious,clarity,7.611111111111111,2.7909332088211336,8.0,1.0,10.0,54,,,,,
grok,religious,confidence,8.055555555555555,1.323469805867903,8.0,3.0,9.0,54,,,,,
grok,religious,performance,,,,,,54,0.05555555555555555,1.0,0.05555555555555555,0.10526315789473684,94.44444444444444
grok,rule-of-three_violations,funniness,2.0952380952380953,1.5287237608529336,2.0,1.0,7.0,105,,,,,
grok,rule-of-three_violations,offensiveness,1.1333333333333333,0.7476458780561551,1.0,1.0,8.0,105,,,,,
grok,rule-of-three_violations,originality,3.142857142857143,2.359223191208086,3.0,1.0,8.0,105,,,,,
grok,rule-of-three_violations,appropriateness,4.623809523809523,0.5224799976892397,4.5,1.0,5.0,105,,,,,
grok,rule-of-three_violations,clarity,6.876190476190477,3.136924136840584,8.0,1.0,10.0,105,,,,,
grok,rule-of-three_violations,confidence,8.6,0.6445033866354896,9.0,8.0,10.0,105,,,,,
grok,rule-of-three_violations,performance,,,,,,105,0.11428571428571428,1.0,0.11428571428571428,0.20512820512820512,88.57142857142857
grok,science_puns,funniness,3.1203703703703702,2.220202872740063,2.5,1.0,7.0,108,,,,,
grok,science_puns,offensiveness,1.3148148148148149,1.0470086285173035,1.0,1.0,9.0,108,,,,,
grok,science_puns,originality,3.787037037037037,2.6652871561585374,3.5,1.0,8.0,108,,,,,
grok,science_puns,appropriateness,4.5092592592592595,0.6338632531904974,4.5,1.0,5.0,108,,,,,
grok,science_puns,clarity,6.435185185185185,3.106439342067811,7.0,1.0,10.0,108,,,,,
grok,science_puns,confidence,8.222222222222221,1.0077580681828051,8.0,3.0,9.0,108,,,,,
grok,science_puns,performance,,,,,,108,0.6388888888888888,1.0,0.6388888888888888,0.7796610169491526,36.111111111111114
grok,surreal,funniness,3.020489755122439,2.323376844168847,2.0,1.0,8.0,2001,,,,,
grok,surreal,offensiveness,1.4252873563218391,1.2359369845930892,1.0,1.0,10.0,2001,,,,,
grok,surreal,originality,3.75912043978011,2.9008529824841185,3.0,1.0,9.0,2001,,,,,
grok,surreal,appropriateness,4.4187906046976515,0.8485438919889084,4.5,0.5,5.0,2001,,,,,
grok,surreal,clarity,6.490754622688656,3.23203333526433,7.0,1.0,10.0,2001,,,,,
grok,surreal,confidence,8.292609351432882,0.9989182674087047,8.0,2.0,10.0,1989,,,,,
grok,surreal,performance,,,,,,1995,0.3804511278195489,1.0,0.3804511278195489,0.55119825708061,61.954887218045116
grok,terminal_illness,funniness,2.323943661971831,1.8127534140658188,1.0,1.0,7.0,213,,,,,
grok,terminal_illness,offensiveness,4.295774647887324,3.6370513385904952,1.0,1.0,10.0,213,,,,,
grok,terminal_illness,originality,2.9530516431924885,2.1473222864855157,3.0,1.0,8.0,213,,,,,
grok,terminal_illness,appropriateness,3.1173708920187795,1.9703769964188715,4.5,0.5,5.0,213,,,,,
grok,terminal_illness,clarity,6.953051643192488,3.066503845134726,8.0,1.0,10.0,213,,,,,
grok,terminal_illness,confidence,8.71830985915493,0.5625858070791218,9.0,8.0,10.0,213,,,,,
grok,terminal_illness,performance,,,,,,213,0.5070422535211268,1.0,0.5070422535211268,0.6728971962616822,49.29577464788733
grok,all_subcategories,funniness,3.050243195694919,2.3014502864066055,2.0,1.0,9.0,19326,,,,,
grok,all_subcategories,offensiveness,1.965495835704309,2.061195009997911,1.0,1.0,10.0,19331,,,,,
grok,all_subcategories,originality,3.5104236718224615,2.648903858550388,3.0,1.0,9.0,19331,,,,,
grok,all_subcategories,appropriateness,4.202214060317624,1.1930681241218255,4.5,0.5,5.0,19331,,,,,
grok,all_subcategories,clarity,6.909749534257918,3.1395842472120608,8.0,1.0,10.0,19324,,,,,
grok,all_subcategories,confidence,8.488733024921654,0.8220786178415572,9.0,1.0,10.0,20103,,,,,
grok,mixed,funniness,3.050243195694919,2.3014502864066055,2.0,1.0,9.0,19326,,,,,
grok,mixed,offensiveness,1.965495835704309,2.061195009997911,1.0,1.0,10.0,19331,,,,,
grok,mixed,originality,3.5104236718224615,2.648903858550388,3.0,1.0,9.0,19331,,,,,
grok,mixed,appropriateness,4.202214060317624,1.1930681241218255,4.5,0.5,5.0,19331,,,,,
grok,mixed,clarity,6.909749534257918,3.1395842472120608,8.0,1.0,10.0,19324,,,,,
grok,mixed,confidence,8.488733024921654,0.8220786178415572,9.0,1.0,10.0,20103,,,,,
grok,all_subcategories,performance,,,,,,20163,0.4316321975896444,1.0,0.4316321975896444,0.6029931407191852,56.836780241035555
grok,mixed,performance,,,,,,20163,0.4316321975896444,1.0,0.4316321975896444,0.6029931407191852,56.836780241035555
deepseek,absurdist_dread,funniness,2.5,1.6904688726763548,2.0,1.0,7.0,528,,,,,
deepseek,absurdist_dread,offensiveness,1.3806818181818181,1.0440787724154017,1.0,1.0,10.0,528,,,,,
deepseek,absurdist_dread,originality,3.8295454545454546,2.264593864635336,3.0,1.0,8.0,528,,,,,
deepseek,absurdist_dread,appropriateness,4.5710227272727275,0.7539732172867394,5.0,0.5,5.0,528,,,,,
deepseek,absurdist_dread,clarity,8.131428571428572,1.546932095952327,8.0,2.0,10.0,525,,,,,
deepseek,absurdist_dread,confidence,4.640776699029126,3.105454089305652,3.0,1.0,10.0,618,,,,,
deepseek,absurdist_dread,performance,,,,,,615,0.004878048780487805,1.0,0.004878048780487805,0.009708737864077669,99.51219512195122
deepseek,anachronism,funniness,2.0,1.2792042981336627,1.5,1.0,4.0,12,,,,,
deepseek,anachronism,offensiveness,1.25,0.45226701686664544,1.0,1.0,2.0,12,,,,,
deepseek,anachronism,originality,3.25,2.0056737702645644,3.0,1.0,6.0,12,,,,,
deepseek,anachronism,appropriateness,4.625,0.6784005252999681,5.0,3.5,5.0,12,,,,,
deepseek,anachronism,clarity,9.0,1.044465935734187,9.0,8.0,10.0,12,,,,,
deepseek,anachronism,confidence,3.25,2.9886147596868655,2.0,1.0,8.0,12,,,,,
deepseek,anachronism,performance,,,,,,12,0.0,0.0,0.0,0.0,100.0
deepseek,anti-jokes,funniness,3.2563106796116505,2.1505061717203637,2.0,1.0,7.0,1545,,,,,
deepseek,anti-jokes,offensiveness,1.89126213592233,1.8607153686642293,1.0,1.0,10.0,1545,,,,,
deepseek,anti-jokes,originality,3.819417475728155,2.3141569089639966,3.0,1.0,8.0,1545,,,,,
deepseek,anti-jokes,appropriateness,4.370873786407767,1.162616454802232,5.0,0.5,5.0,1545,,,,,
deepseek,anti-jokes,clarity,8.560311284046692,1.1728850518956209,9.0,3.0,10.0,1542,,,,,
deepseek,anti-jokes,confidence,5.24007561436673,3.2986614266083167,8.0,1.0,10.0,1587,,,,,
deepseek,anti-jokes,performance,,,,,,1575,0.17904761904761904,1.0,0.17904761904761904,0.3037156704361874,82.0952380952381
deepseek,authority_mockery,funniness,3.760869565217391,2.3227040239476455,3.5,1.0,7.0,138,,,,,
deepseek,authority_mockery,offensiveness,2.717391304347826,1.9141773420605888,2.5,1.0,8.0,138,,,,,
deepseek,authority_mockery,originality,3.847826086956522,1.8946801201930232,4.0,1.0,8.0,138,,,,,
deepseek,authority_mockery,appropriateness,3.858695652173913,1.2052033332925605,4.0,1.0,5.0,138,,,,,
deepseek,authority_mockery,clarity,8.369565217391305,1.0114388605883928,8.0,6.0,10.0,138,,,,,
deepseek,authority_mockery,confidence,5.137254901960785,3.1162959277959343,5.0,1.0,9.0,153,,,,,
deepseek,authority_mockery,performance,,,,,,153,0.17647058823529413,1.0,0.17647058823529413,0.3,82.35294117647058
deepseek,british_class_humor,funniness,3.533916849015317,2.2625437635838037,3.0,1.0,8.0,1371,,,,,
deepseek,british_class_humor,offensiveness,1.5536105032822758,1.2371410496175141,1.0,1.0,10.0,1371,,,,,
deepseek,british_class_humor,originality,3.8205689277899344,1.9515780543863164,4.0,1.0,9.0,1371,,,,,
deepseek,british_class_humor,appropriateness,4.50109409190372,0.797234434589347,5.0,0.5,5.0,1371,,,,,
deepseek,british_class_humor,clarity,8.414473684210526,1.0791613358404557,8.0,3.0,10.0,1368,,,,,
deepseek,british_class_humor,confidence,5.175983436853002,3.077736421526128,6.0,1.0,10.0,1449,,,,,
deepseek,british_class_humor,performance,,,,,,1437,0.12943632567849686,1.0,0.12943632567849686,0.22920517560073936,87.05636743215031
deepseek,contextual_sarcasm,funniness,4.025,2.4442315320825845,5.0,1.0,7.0,240,,,,,
deepseek,contextual_sarcasm,offensiveness,2.075,1.475957954294494,1.0,1.0,7.0,240,,,,,
deepseek,contextual_sarcasm,originality,4.4,2.282918194147909,5.0,1.0,8.0,240,,,,,
deepseek,contextual_sarcasm,appropriateness,4.10625,1.1526586059734627,4.5,1.0,5.0,240,,,,,
deepseek,contextual_sarcasm,clarity,8.45,1.1739858081869081,9.0,4.0,10.0,240,,,,,
deepseek,contextual_sarcasm,confidence,5.264367816091954,3.0889123183322678,8.0,1.0,10.0,261,,,,,
deepseek,contextual_sarcasm,performance,,,,,,255,0.24705882352941178,1.0,0.24705882352941178,0.39622641509433965,75.29411764705883
deepseek,cringe_comedy,funniness,3.3846153846153846,1.9278483317635235,3.0,1.0,7.0,39,,,,,
deepseek,cringe_comedy,offensiveness,3.0,2.5443435716361726,2.0,1.0,8.0,39,,,,,
deepseek,cringe_comedy,originality,3.6153846153846154,2.00808084099411,3.0,1.0,8.0,39,,,,,
deepseek,cringe_comedy,appropriateness,3.8076923076923075,1.3259325646472007,4.0,1.0,5.0,39,,,,,
deepseek,cringe_comedy,clarity,8.416666666666666,1.2733532783279633,8.5,6.0,10.0,36,,,,,
deepseek,cringe_comedy,confidence,4.5,2.932159780027302,4.0,1.0,8.0,42,,,,,
deepseek,cringe_comedy,performance,,,,,,39,0.07692307692307693,1.0,0.07692307692307693,0.14285714285714285,92.3076923076923
deepseek,double_entendres,funniness,3.8943894389438944,2.447210712408839,4.0,1.0,8.0,1818,,,,,
deepseek,double_entendres,offensiveness,2.953795379537954,2.5937691322546588,1.0,1.0,9.0,1818,,,,,
deepseek,double_entendres,originality,4.435643564356436,2.382860545481591,5.0,1.0,8.0,1818,,,,,
